"","number_of_bedrooms","number_of_bathrooms","exterior_condition","interior_condition","census_tract","x_coord","y_coord","crime_count_15min_walk","park_within_15min_walk","transit_15min_walk","hospitals_15min_walk","total_popE","median_incomeE","PCBACHMORE","PCTPOVERTY","schools_within_15min_walk","age","sale_price_log","dist_to_park_ft_log","dist_to_hospital_ft_log","dist_transit_ft_log","per_cap_incomeE_log","dist_to_nearest_school_ft_log","total_livable_area_log"
"number_of_bedrooms",1,0.351017936010901,-0.00437358946676703,-0.0276160499279639,0.121652678248857,-0.0747791682156297,0.123083518675036,-0.140567648077423,-0.0313188793492162,-0.148604701483342,-0.154711791189316,0.0524135968479123,-0.140601709458915,-0.153366424319805,0.0790534851421682,-0.0779553290528466,0.040237314763156,0.114859437501348,-0.00137182490717822,0.0845788311871102,0.0636777077150487,-0.166270796636873,0.000480947507938153,0.627100736329034
"number_of_bathrooms",0.351017936010901,1,-0.393688451876402,-0.410343216701614,-0.0445694247616816,-0.0415412113393717,-0.00720182635170782,-0.0595180642345985,-0.00101409041311707,0.0695536485063517,0.0913112884389039,-0.156630611661342,0.27409906096086,0.32954268450333,-0.239988065459595,-0.00453676469410559,-0.287963469337978,0.490363597025265,0.0693020152614525,-0.0666957767970338,-0.0180754545769916,0.319230400466854,0.0383923916694768,0.596655222789148
"exterior_condition",-0.00437358946676703,-0.393688451876402,1,0.693437194272979,0.149434493386546,0.0796381337899957,0.180829323028911,-0.0556554687135529,-0.12691208685512,-0.170933869177935,-0.125217284855072,0.168798081274941,-0.253813934216599,-0.295523928140597,0.177020530811971,-0.115413829283863,0.425386910594287,-0.382730607696954,0.0474718407601443,0.130925292288671,0.0595976462733246,-0.281619375559337,0.0161479343538816,-0.285233670035633
"interior_condition",-0.0276160499279639,-0.410343216701614,0.693437194272979,1,0.1773322185196,0.151753985634991,0.193956994857443,-0.0475009882253074,-0.151526043738612,-0.166965234570319,-0.0964158290764412,0.145009593521852,-0.179772797259652,-0.233197677710588,0.14048085146684,-0.120317974446826,0.253549772917741,-0.367278906812652,0.0691681527266893,0.111260964163629,0.0715780179494073,-0.217446267172027,0.0347286157802088,-0.229125807303612
"census_tract",0.121652678248857,-0.0445694247616816,0.149434493386546,0.1773322185196,1,0.655124927965211,0.850162234571366,-0.526636928872764,-0.433788952229426,-0.724159127775967,-0.46074594076706,0.237189251123215,-0.146348094359536,-0.365937356958311,0.0193661093530258,-0.511659198340828,-0.220341418415872,-0.0927319550510242,0.218276181176542,0.377253921876283,0.377061279644881,-0.255756599540596,0.191625233810644,0.0589830719142531
"x_coord",-0.0747791682156297,-0.0415412113393717,0.0796381337899957,0.151753985634991,0.655124927965211,1,0.616538540658506,-0.263738865384277,-0.120580987392065,-0.365412181921064,-0.175587386688289,0.285599319150621,0.0181412504852339,-0.210911516275898,-0.0686868277888443,-0.291332807682605,-0.247730603438549,0.015938861221057,0.0916955016378824,0.228316153223152,0.204040500545043,-0.0824984355123937,0.136571586713117,-0.0470852493736784
"y_coord",0.123083518675036,-0.00720182635170782,0.180829323028911,0.193956994857443,0.850162234571366,0.616538540658506,1,-0.523335742034286,-0.481632964810899,-0.681902689359491,-0.383746072959819,0.209025394226283,-0.108662945895831,-0.267000366507175,-0.0528853783576579,-0.539506153969593,-0.208398891407445,-0.0432649199227441,0.269026688608502,0.348656530478215,0.370919138096207,-0.183143765745958,0.217276487365012,0.0880686305892746
"crime_count_15min_walk",-0.140567648077423,-0.0595180642345985,-0.0556554687135529,-0.0475009882253074,-0.526636928872764,-0.263738865384277,-0.523335742034286,1,0.435471921754012,0.764204294839573,0.453528679916274,-0.0965089243608727,-0.171455930480968,0.0182472933198914,0.383922059809393,0.719225401778438,0.24369156012456,-0.140169998593326,-0.230052899560452,-0.431647667979943,-0.320549035001077,-0.0960997113212786,-0.261643463218177,-0.159764914063053
"park_within_15min_walk",-0.0313188793492162,-0.00101409041311707,-0.12691208685512,-0.151526043738612,-0.433788952229426,-0.120580987392065,-0.481632964810899,0.435471921754012,1,0.526518668422776,0.258796445093739,-0.0107769697308,0.0254220540135911,0.0927892469977218,0.128766012647294,0.483355108835575,0.146832227087236,0.00338006188762743,-0.4356628887428,-0.222696333191819,-0.228552164575173,0.0275289846200037,-0.192424733235785,-0.0672190790026257
"transit_15min_walk",-0.148604701483342,0.0695536485063517,-0.170933869177935,-0.166965234570319,-0.724159127775967,-0.365412181921064,-0.681902689359491,0.764204294839573,0.526518668422776,1,0.669179232969924,-0.228766810091033,0.148589206424407,0.359573765342387,0.0276611450167738,0.756101480550914,0.192301007533656,0.137784843555988,-0.238069337492163,-0.577303687859344,-0.438373702986524,0.275197268911478,-0.273109732513901,-0.048404886270293
"hospitals_15min_walk",-0.154711791189316,0.0913112884389039,-0.125217284855072,-0.0964158290764412,-0.46074594076706,-0.175587386688289,-0.383746072959819,0.453528679916274,0.258796445093739,0.669179232969924,1,-0.193731298743034,0.235297397250256,0.388752628045996,-0.118941744424883,0.518777949533831,0.0531522987132899,0.207589878261955,-0.0550272026223804,-0.709441082992848,-0.263997342776934,0.330974960914946,-0.160062783088033,-0.00339083445185335
"total_popE",0.0524135968479123,-0.156630611661342,0.168798081274941,0.145009593521852,0.237189251123215,0.285599319150621,0.209025394226283,-0.0965089243608727,-0.0107769697308,-0.228766810091033,-0.193731298743034,1,-0.244632116643759,-0.391686873506487,0.179190795492206,-0.148253472097822,0.0305112867896205,-0.193466856779961,-0.0204618192454835,0.184619182139437,0.120261419501161,-0.380137625915634,-0.0228425852320833,-0.114903893223743
"median_incomeE",-0.140601709458915,0.27409906096086,-0.253813934216599,-0.179772797259652,-0.146348094359536,0.0181412504852339,-0.108662945895831,-0.171455930480968,0.0254220540135911,0.148589206424407,0.235297397250256,-0.244632116643759,1,0.832827689828415,-0.749484001239013,-0.0291591804305364,-0.21189690671455,0.556005057168448,0.0679725381868476,-0.157267383119247,-0.0553046987525476,0.872633592970171,0.0133962324883919,0.228234051500681
"PCBACHMORE",-0.153366424319805,0.32954268450333,-0.295523928140597,-0.233197677710588,-0.365937356958311,-0.210911516275898,-0.267000366507175,0.0182472933198914,0.0927892469977218,0.359573765342387,0.388752628045996,-0.391686873506487,0.832827689828415,1,-0.648652036317255,0.126735504698783,-0.116861970257168,0.594677965353492,0.0485079202012387,-0.306667794464971,-0.164447792999519,0.912848856430903,-0.00941139885608417,0.238939297750746
"PCTPOVERTY",0.0790534851421682,-0.239988065459595,0.177020530811971,0.14048085146684,0.0193661093530258,-0.0686868277888443,-0.0528853783576579,0.383922059809393,0.128766012647294,0.0276611450167738,-0.118941744424883,0.179190795492206,-0.749484001239013,-0.648652036317255,1,0.230907866399362,0.22630972735896,-0.513981719406861,-0.132931788825848,0.019911966666644,-0.042509251853619,-0.767283831776604,-0.139078971841362,-0.227519382911799
"schools_within_15min_walk",-0.0779553290528466,-0.00453676469410559,-0.115413829283863,-0.120317974446826,-0.511659198340828,-0.291332807682605,-0.539506153969593,0.719225401778438,0.483355108835575,0.756101480550914,0.518777949533831,-0.148253472097822,-0.0291591804305364,0.126735504698783,0.230907866399362,1,0.214849604812493,-0.0453531599718052,-0.247543953749662,-0.487877178098628,-0.326069037638795,0.0312000314735015,-0.336021173547021,-0.0930248161364591
"age",0.040237314763156,-0.287963469337978,0.425386910594287,0.253549772917741,-0.220341418415872,-0.247730603438549,-0.208398891407445,0.24369156012456,0.146832227087236,0.192301007533656,0.0531522987132899,0.0305112867896205,-0.21189690671455,-0.116861970257168,0.22630972735896,0.214849604812493,1,-0.267860531295937,-0.11259521861404,-0.0942798814190065,-0.152185493830635,-0.170318919510031,-0.156554020469801,-0.25600741757097
"sale_price_log",0.114859437501348,0.490363597025265,-0.382730607696954,-0.367278906812652,-0.0927319550510242,0.015938861221057,-0.0432649199227441,-0.140169998593326,0.00338006188762743,0.137784843555988,0.207589878261955,-0.193466856779961,0.556005057168448,0.594677965353492,-0.513981719406861,-0.0453531599718052,-0.267860531295937,1,0.0834091067050884,-0.137328144264209,-0.0368562067084963,0.607438632398512,0.0509950387968473,0.464996792212031
"dist_to_park_ft_log",-0.00137182490717822,0.0693020152614525,0.0474718407601443,0.0691681527266893,0.218276181176542,0.0916955016378824,0.269026688608502,-0.230052899560452,-0.4356628887428,-0.238069337492163,-0.0550272026223804,-0.0204618192454835,0.0679725381868476,0.0485079202012387,-0.132931788825848,-0.247543953749662,-0.11259521861404,0.0834091067050884,1,0.102005231029092,0.131411501964934,0.0804904982885755,0.220522236003689,0.0821459248395202
"dist_to_hospital_ft_log",0.0845788311871102,-0.0666957767970338,0.130925292288671,0.111260964163629,0.377253921876283,0.228316153223152,0.348656530478215,-0.431647667979943,-0.222696333191819,-0.577303687859344,-0.709441082992848,0.184619182139437,-0.157267383119247,-0.306667794464971,0.019911966666644,-0.487877178098628,-0.0942798814190065,-0.137328144264209,0.102005231029092,1,0.211797246041103,-0.228955209288091,0.175119588749668,-0.00764863920693127
"dist_transit_ft_log",0.0636777077150487,-0.0180754545769916,0.0595976462733246,0.0715780179494073,0.377061279644881,0.204040500545043,0.370919138096207,-0.320549035001077,-0.228552164575173,-0.438373702986524,-0.263997342776934,0.120261419501161,-0.0553046987525476,-0.164447792999519,-0.042509251853619,-0.326069037638795,-0.152185493830635,-0.0368562067084963,0.131411501964934,0.211797246041103,1,-0.108151688162557,0.165055892391221,0.0250883851548874
"per_cap_incomeE_log",-0.166270796636873,0.319230400466854,-0.281619375559337,-0.217446267172027,-0.255756599540596,-0.0824984355123937,-0.183143765745958,-0.0960997113212786,0.0275289846200037,0.275197268911478,0.330974960914946,-0.380137625915634,0.872633592970171,0.912848856430903,-0.767283831776604,0.0312000314735015,-0.170318919510031,0.607438632398512,0.0804904982885755,-0.228955209288091,-0.108151688162557,1,0.0355951155220191,0.238588081961845
"dist_to_nearest_school_ft_log",0.000480947507938153,0.0383923916694768,0.0161479343538816,0.0347286157802088,0.191625233810644,0.136571586713117,0.217276487365012,-0.261643463218177,-0.192424733235785,-0.273109732513901,-0.160062783088033,-0.0228425852320833,0.0133962324883919,-0.00941139885608417,-0.139078971841362,-0.336021173547021,-0.156554020469801,0.0509950387968473,0.220522236003689,0.175119588749668,0.165055892391221,0.0355951155220191,1,0.0557435148229658
"total_livable_area_log",0.627100736329034,0.596655222789148,-0.285233670035633,-0.229125807303612,0.0589830719142531,-0.0470852493736784,0.0880686305892746,-0.159764914063053,-0.0672190790026257,-0.048404886270293,-0.00339083445185335,-0.114903893223743,0.228234051500681,0.238939297750746,-0.227519382911799,-0.0930248161364591,-0.25600741757097,0.464996792212031,0.0821459248395202,-0.00764863920693127,0.0250883851548874,0.238588081961845,0.0557435148229658,1
